    xev evidencias
355 355   200.9995
356 356   200.9995
357 357   200.9996
358 358   200.9999
359 359   200.9996
360 360   200.9961
361 361   200.9999
362 362   200.9679
363 363   200.9987
364 364   200.9997
365 365   200.9997
366 366   201.0000
367 367   200.9997
368 368   200.9994
369 369   200.9516
370 370   200.9999
371 371   200.9999
372 372   200.9996
373 373   200.9996
374 374   201.0000
375 375   200.9995
376 376   200.9999
377 377   200.9997
378 378   200.9999
379 379   200.9989
380 380   201.0000
381 381   200.9999
382 382   201.0000
383 383   200.9998
384 384   200.9998
385 385   200.9999
386 386   200.9992
387 387   200.9992
388 388   200.9698
389 389   200.9990
390 390   200.9998
391 391   200.9996
392 392   200.9622
393 393   200.9987
394 394   200.9998
395 395   200.9988
396 396   200.9990
397 397   200.9988
398 398   200.9999
399 399   200.9996
400 400   200.9995
